fecha,unidades
02/01/2006,2088
02/01/2006,1480
02/01/2006,2270
02/01/2006,6275
03/01/2006,502
03/01/2006,303
03/01/2006,299
03/01/2006,514
03/01/2006,1542
04/01/2006,90
04/01/2006,1012
04/01/2006,1040
04/01/2006,1096
04/01/2006,1070
04/01/2006,1084
04/01/2006,1147
04/01/2006,1176
04/01/2006,1114
04/01/2006,1110
04/01/2006,1091
04/01/2006,3108
04/01/2006,2604
05/01/2006,500
05/01/2006,1070
05/01/2006,1014
05/01/2006,502
05/01/2006,3178
05/01/2006,1013
05/01/2006,1080
05/01/2006,1033
06/01/2006,270
06/01/2006,496
06/01/2006,4281
06/01/2006,2210
06/01/2006,118
06/01/2006,314
06/01/2006,508
06/01/2006,456
06/01/2006,515
06/01/2006,633
06/01/2006,593
06/01/2006,331
07/01/2006,52
09/01/2006,2135
10/01/2006,124
10/01/2006,36
10/01/2006,137
10/01/2006,182
10/01/2006,514
10/01/2006,240
11/01/2006,2041
11/01/2006,1013
12/01/2006,1050
12/01/2006,2119
12/01/2006,1034
12/01/2006,1094
12/01/2006,1050
12/01/2006,3090
12/01/2006,1042
12/01/2006,743
12/01/2006,2510
12/01/2006,2709
12/01/2006,4086
12/01/2006,1255
12/01/2006,1135
12/01/2006,2327
12/01/2006,1302
13/01/2006,1307
13/01/2006,1388
13/01/2006,262
13/01/2006,131
13/01/2006,142
13/01/2006,3405
14/01/2006,50
14/01/2006,56
17/01/2006,595
17/01/2006,1076
18/01/2006,3696
19/01/2006,48
19/01/2006,31
19/01/2006,9
19/01/2006,15
19/01/2006,516
19/01/2006,1039
19/01/2006,164
19/01/2006,77
19/01/2006,82
19/01/2006,55
19/01/2006,224
19/01/2006,118
19/01/2006,114
19/01/2006,181
19/01/2006,160
19/01/2006,131
19/01/2006,283
19/01/2006,139
19/01/2006,96
19/01/2006,17
19/01/2006,18
20/01/2006,11
20/01/2006,8
20/01/2006,6
20/01/2006,2102
24/01/2006,386
24/01/2006,1042
24/01/2006,504
24/01/2006,311
24/01/2006,504
24/01/2006,530
24/01/2006,247
25/01/2006,1302
26/01/2006,4158
26/01/2006,5050
26/01/2006,5369
26/01/2006,941
26/01/2006,245
26/01/2006,264
27/01/2006,14
27/01/2006,12
30/01/2006,502
30/01/2006,12
30/01/2006,92
01/02/2006,1008
01/02/2006,1092
