periodo,n_obs,id_pieza,id_matriz,pieza_real,pieza_teo,piezas,lote_real,lote_teo
1,1,a01,m02,7.5,7.554,28,210,211.512
1,2,a02,m04,7.02,6.96,80,561.6,556.8
1,3,a03,m09,5.37,5.382,198,1063.26,1065.636
1,4,a05,m01,3.75,3.774,182,682.5,686.868
1,5,a06,m01,3.48,3.378,79,274.92,266.862
1,6,a07,m01,2.4,2.226,548,1315.2,1219.848
1,7,a08,m02,2.4,2.244,245,588,549.78
1,8,a09,m01,5.64,5.85,24,135.36,140.4
1,9,a10,m04,5.61,6.078,96,538.56,583.488
1,10,a05,m03,3.69,3.774,30,110.7,113.22
2,11,a02,m02,7.23,6.96,55,397.65,382.8
2,12,a09,m05,5.76,5.85,95,547.2,555.75
2,13,a10,m04,5.61,6.078,30,168.3,182.34
2,14,a03,m05,5.22,5.382,194,1012.68,1044.108
2,15,a11,m01,4.8,4.26,195,936,830.7
2,16,a12,m04,4.44,4.56,21,93.24,95.76
2,17,a04,m03,3.93,3.906,56,220.08,218.736
2,18,a13,m04,3.66,3.81,34,124.44,129.54
2,19,a05,m02,3.63,3.774,21,76.23,79.254
2,20,a05,m02,3.6,3.774,141,507.6,532.134
2,21,a14,m02,2.73,2.682,195,532.35,522.99
2,22,a15,m01,2.58,2.436,195,503.1,475.02
2,23,a01,m01,8.01,7.554,138,1105.38,1042.452
2,24,a02,m01,7.8,6.96,6,46.8,41.76
2,25,a02,m01,7.734,6.96,74,572.316,515.04
2,26,a02,m02,7.23,6.96,35,253.05,243.6
2,27,a03,m04,5.61,5.382,57,319.77,306.774
2,28,a03,m04,5.598,5.382,126,705.348,678.132
2,29,a12,m05,4.56,4.56,403,1837.68,1837.68
2,30,a06,m01,3.6,3.378,104,374.4,351.312
2,31,a15,m04,2.376,2.436,28,66.528,68.208
2,32,a15,m03,2.37,2.436,339,803.43,825.804
2,33,a16,m01,1.5,1.458,717,1075.5,1045.386
2,34,a03,m08,5.352,5.382,72,385.344,387.504
2,35,a17,m01,2.49,2.13,121,301.29,257.73
2,36,a18,m01,2.4,2.316,150,360,347.4
2,37,a16,m01,1.5,1.458,249,373.5,363.042
2,38,a02,m05,7.2,6.96,10,72,69.6
2,39,a03,m08,5.4,5.382,10,54,53.82
2,40,a03,m06,5.37,5.382,267,1433.79,1436.994
2,41,a03,m07,5.34,5.382,60,320.4,322.92
2,42,a14,m02,2.796,2.682,461,1288.956,1236.402
2,43,a02,m06,7.5,6.96,8,60,55.68
2,44,a02,m01,7.8,6.96,31,241.8,215.76
2,45,a02,m01,7.8,6.96,290,2262,2018.4
2,46,a12,m02,4.8,4.56,8,38.4,36.48
2,47,a12,m05,4.56,4.56,12,54.72,54.72
2,48,a12,m04,4.362,4.56,13,56.706,59.28
2,49,a06,m02,3.276,3.378,175,573.3,591.15
2,50,a14,m02,2.61,2.682,46,120.06,123.372
2,51,a15,m05,2.28,2.436,39,88.92,95.004
3,52,a02,m02,7.11,6.96,33,234.63,229.68
3,53,a09,m06,5.73,5.85,6,34.38,35.1
3,54,a10,m07,5.64,6.078,125,705,759.75
3,55,a12,m05,4.56,4.56,29,132.24,132.24
3,56,a12,m04,4.362,4.56,18,78.516,82.08
3,57,a05,m02,3.63,3.774,105,381.15,396.27
3,58,a14,m02,2.73,2.682,634,1730.82,1700.388
3,59,a15,m03,2.574,2.436,487,1253.538,1186.332
3,60,a01,m07,7.5,7.554,10,75,75.54
3,61,a02,m02,7.11,6.96,6,42.66,41.76
3,62,a09,m01,6,5.85,195,1170,1140.75
3,63,a09,m06,5.73,5.85,8,45.84,46.8
3,64,a05,m01,3.9,3.774,20,78,75.48
3,65,a05,m03,3.78,3.774,17,64.26,64.158
3,66,a05,m02,3.63,3.774,28,101.64,105.672
3,67,a18,m01,2.376,2.316,217,515.592,502.572
3,68,a18,m01,2.37,2.316,54,127.98,125.064
3,69,a08,m02,2.34,2.244,199,465.66,446.556
3,70,a01,m02,7.5,7.554,43,322.5,324.822
3,71,a01,m02,7.5,7.554,4,30,30.216
3,72,a03,m06,5.52,5.382,89,491.28,478.998
3,73,a03,m04,5.46,5.382,215,1173.9,1157.13
3,74,a03,m04,5.43,5.382,26,141.18,139.932
3,75,a12,m02,4.758,4.56,37,176.046,168.72
3,76,a12,m04,4.59,4.56,207,950.13,943.92
3,77,a11,m02,4.23,4.26,178,752.94,758.28
3,78,a05,m01,3.9,3.774,36,140.4,135.864
